,Name,Link,Rating,Review Count,Great for walkers,Restaurants,Attractions,Excellent,Very good,Average,Poor,Terrible,Picture
2420,2749. Rainbow Studios Canary Wharf,https://tripadvisor.in/Hotel_Review-g186338-d13798456-Reviews-Rainbow_Studios_Canary_Wharf-London_England.html,2 of 5 bubbles,33 reviews,78,17,3,4,5,3,2,19, (22)
2421,2750. Le Junction,https://tripadvisor.in/Hotel_Review-g186338-d7381008-Reviews-Le_Junction-London_England.html,2 of 5 bubbles,37 reviews,59,41,4,3,5,5,6,18, (12)
2422,2751. Imperial Court Studios,https://tripadvisor.in/Hotel_Review-g186338-d12159303-Reviews-Imperial_Court_Studios-London_England.html,2.5 of 5 bubbles,85 reviews,96,138,18,2,15,22,11,35, (91)
2423,2752. Euston Apartments - St. Pancras International,https://tripadvisor.in/Hotel_Review-g186338-d12828591-Reviews-Euston_Apartments_St_Pancras_International-London_England.html,2 of 5 bubbles,12 reviews,100,114,39,0,2,1,2,7, (12)
2424,2753. Hyde Park Superior Apartments,https://tripadvisor.in/Hotel_Review-g186338-d10825596-Reviews-Hyde_Park_Superior_Apartments-London_England.html,2 of 5 bubbles,33 reviews,98,109,15,1,7,2,9,14, (12)
2425,2754. Queens Drive at Finsbury Park,https://tripadvisor.in/Hotel_Review-g186338-d3320109-Reviews-Queens_Drive_at_Finsbury_Park-London_England.html,2 of 5 bubbles,92 reviews,80,50,10,0,21,14,18,39, (64)
2426,2755. Marisa House,https://tripadvisor.in/Hotel_Review-g186338-d6411267-Reviews-Marisa_House-London_England.html,2 of 5 bubbles,36 reviews,100,234,88,2,3,7,6,18, (7)
2427,2756. Cottage 76,https://tripadvisor.in/Hotel_Review-g186338-d2686723-Reviews-Cottage_76-London_England.html,2 of 5 bubbles,44 reviews,68,47,5,5,3,6,11,19, (28)
2428,2757. Normandie Hotel,https://tripadvisor.in/Hotel_Review-g186338-d620045-Reviews-Normandie_Hotel-London_England.html,2 of 5 bubbles,228 reviews,100,174,32,12,29,52,33,102, (79)
2429,2758. Hostel 7,https://tripadvisor.in/Hotel_Review-g186338-d15299847-Reviews-Hostel_7-London_England.html,1.5 of 5 bubbles,6 reviews,96,122,16,0,0,1,0,5,
2430,2759. So King's Cross,https://tripadvisor.in/Hotel_Review-g186338-d5029110-Reviews-So_King_s_Cross-London_England.html,2.5 of 5 bubbles,358 reviews,100,214,56,14,63,79,75,127, (141)
2431,2760. Farringdon Superior Apartments,https://tripadvisor.in/Hotel_Review-g186338-d15751598-Reviews-Farringdon_Superior_Apartments-London_England.html,1 of 5 bubbles,5 reviews,100,228,130,0,0,0,1,4, (5)
2432,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
2433,2761. The Colonnade Hotel,https://tripadvisor.in/Hotel_Review-g186338-d188962-Reviews-The_Colonnade_Hotel-London_England.html,3.5 of 5 bubbles,"2,088 reviews",82,36,14,700,468,205,169,546," (2,010)"
2434,2762. Britannia International Hotel,https://tripadvisor.in/Hotel_Review-g186338-d195153-Reviews-Britannia_International_Hotel-London_England.html,3 of 5 bubbles,"5,345 reviews",87,113,17,583,"1,299","1,357",916,"1,190"," (2,350)"
2435,2763. Chester Hotel Victoria,https://tripadvisor.in/Hotel_Review-g186338-d675586-Reviews-Chester_Hotel_Victoria-London_England.html,2.5 of 5 bubbles,545 reviews,94,142,23,51,89,100,83,222, (425)
2436,2764. Cheshire Hotel,https://tripadvisor.in/Hotel_Review-g186338-d192039-Reviews-Cheshire_Hotel-London_England.html,2.5 of 5 bubbles,693 reviews,100,553,200,45,105,145,111,287, (322)
2437,2765. Greenwich Stay,https://tripadvisor.in/Hotel_Review-g186338-d21378288-Reviews-Greenwich_Stay-London_England.html,1.5 of 5 bubbles,4 reviews,58,56,5,0,0,0,1,3, (5)
2438,2766. Hotel Cavendish,https://tripadvisor.in/Hotel_Review-g186338-d574687-Reviews-Hotel_Cavendish-London_England.html,2.5 of 5 bubbles,558 reviews,100,218,61,29,97,123,112,197, (316)
2439,2767. Guess Bungalow Wembley,https://tripadvisor.in/Hotel_Review-g186338-d23321285-Reviews-Guess_Bungalow_Wembley-London_England.html,1 of 5 bubbles,3 reviews,57,60,6,0,0,0,0,3, (7)
2440,2768. ND Hotel - Hyde Park,https://tripadvisor.in/Hotel_Review-g186338-d23934949-Reviews-ND_Hotel_Hyde_Park-London_England.html,1 of 5 bubbles,3 reviews,96,142,18,0,0,0,0,3, (10)
2441,2769. Albany Hotel London,https://tripadvisor.in/Hotel_Review-g186338-d192149-Reviews-Albany_Hotel_London-London_England.html,2 of 5 bubbles,28 reviews,100,140,62,0,3,6,1,18, (10)
2442,2770. Pacific Hotel,https://tripadvisor.in/Hotel_Review-g186338-d612766-Reviews-Pacific_Hotel-London_England.html,2.5 of 5 bubbles,287 reviews,100,176,33,15,32,69,71,100, (95)
2443,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
2444,2771. Citygate Kensington,https://tripadvisor.in/Hotel_Review-g186338-d11851382-Reviews-Citygate_Kensington-London_England.html,2 of 5 bubbles,20 reviews,79,45,7,1,1,4,4,10, (10)
2445,2772. Central Park Hotel,https://tripadvisor.in/Hotel_Review-g186338-d1019217-Reviews-Central_Park_Hotel-London_England.html,2.5 of 5 bubbles,813 reviews,84,56,10,25,108,235,164,281, (496)
2446,2773. 914 Rooms,https://tripadvisor.in/Hotel_Review-g186338-d13943991-Reviews-914_Rooms-London_England.html,1.5 of 5 bubbles,7 reviews,79,108,9,0,0,1,0,6, (4)
2447,2774. The Cameron Hotel,https://tripadvisor.in/Hotel_Review-g186338-d12423950-Reviews-The_Cameron_Hotel-London_England.html,2 of 5 bubbles,35 reviews,100,147,26,4,2,6,5,18, (41)
2448,2775. King Solomon Hotel,https://tripadvisor.in/Hotel_Review-g186338-d254574-Reviews-King_Solomon_Hotel-London_England.html,2 of 5 bubbles,842 reviews,63,68,5,47,107,173,133,383, (668)
2449,2776. Camden Market Apartments,https://tripadvisor.in/Hotel_Review-g186338-d20906801-Reviews-Camden_Market_Apartments-London_England.html,1 of 5 bubbles,3 reviews,100,227,84,0,0,0,0,3, (9)
2450,2777. CitySpace Bermondsey,https://tripadvisor.in/Hotel_Review-g186338-d21238856-Reviews-CitySpace_Bermondsey-London_England.html,2 of 5 bubbles,10 reviews,82,50,15,1,1,0,2,6, (37)
2451,2778. Twiggy Guesthouse,https://tripadvisor.in/Hotel_Review-g186338-d13968328-Reviews-Twiggy_Guesthouse-London_England.html,1 of 5 bubbles,5 reviews,100,192,48,0,0,0,0,5, (24)
2452,2779. City Of London - Zen Apartments,https://tripadvisor.in/Hotel_Review-g186338-d6433995-Reviews-City_Of_London_Zen_Apartments-London_England.html,2 of 5 bubbles,13 reviews,100,100,18,1,1,1,1,9, (17)
2453,2780. Kensington Rooms and Apartments,https://tripadvisor.in/Hotel_Review-g186338-d2354315-Reviews-Kensington_Rooms_and_Apartments-London_England.html,2.5 of 5 bubbles,216 reviews,95,104,10,21,31,33,41,90, (122)
2454,2781. Wns Hotel Canary Wharf,https://tripadvisor.in/Hotel_Review-g186338-d23827490-Reviews-Wns_Hotel_Canary_Wharf-London_England.html,1.5 of 5 bubbles,4 reviews,70,36,3,0,0,0,1,3,
2455,2782. Bloem Rooms,https://tripadvisor.in/Hotel_Review-g186338-d11885939-Reviews-Bloem_Rooms-London_England.html,1 of 5 bubbles,6 reviews,81,41,7,0,0,0,0,6, (13)
2456,2783. Park Avenue Inn Craven Hotel,https://tripadvisor.in/Hotel_Review-g186338-d254689-Reviews-Park_Avenue_Inn_Craven_Hotel-London_England.html,2.5 of 5 bubbles,351 reviews,99,114,17,14,49,102,68,118, (227)
2457,2784. The Chippenham Hotel,https://tripadvisor.in/Hotel_Review-g186338-d3518722-Reviews-The_Chippenham_Hotel-London_England.html,2 of 5 bubbles,25 reviews,69,120,18,0,3,6,2,14, (11)
2458,2785. Citygate Tower Bridge,https://tripadvisor.in/Hotel_Review-g186338-d12693526-Reviews-Citygate_Tower_Bridge-London_England.html,1 of 5 bubbles,7 reviews,100,282,76,0,0,0,1,6, (5)
2459,2786. Rex Hotel,https://tripadvisor.in/Hotel_Review-g186338-d1233358-Reviews-Rex_Hotel-London_England.html,2 of 5 bubbles,38 reviews,86,83,8,0,3,6,8,21, (17)
2460,2787. StayIn Apartments Marble Arch,https://tripadvisor.in/Hotel_Review-g186338-d15263024-Reviews-StayIn_Apartments_Marble_Arch-London_England.html,1.5 of 5 bubbles,11 reviews,100,125,25,0,1,1,2,7, (10)
2461,2788. The Private Apartments - The Strand - Covent Garden,https://tripadvisor.in/Hotel_Review-g186338-d13121672-Reviews-The_Private_Apartments_The_Strand_Covent_Garden-London_England.html,1.5 of 5 bubbles,7 reviews,100,146,83,0,1,0,0,6,
2462,2789. Dylan Apartments Paddington,https://tripadvisor.in/Hotel_Review-g186338-d262449-Reviews-Dylan_Apartments_Paddington-London_England.html,2.5 of 5 bubbles,274 reviews,96,118,14,14,34,70,48,108, (146)
2463,2790. TLK Apartments & Hotel - Peckham,https://tripadvisor.in/Hotel_Review-g186338-d19609765-Reviews-TLK_Apartments_Hotel_Peckham-London_England.html,1 of 5 bubbles,4 reviews,64,123,24,0,0,0,0,4, (10)
2464,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
2465,2791. Charlies Hotel,https://tripadvisor.in/Hotel_Review-g186338-d1479614-Reviews-Charlies_Hotel-London_England.html,2 of 5 bubbles,211 reviews,70,134,38,11,22,46,45,87, (202)
2466,2792. Seymour Hotel,https://tripadvisor.in/Hotel_Review-g186338-d279734-Reviews-Seymour_Hotel-London_England.html,2.5 of 5 bubbles,402 reviews,100,177,32,8,49,124,83,138, (291)
2467,2793. OYO TamTam Acton Hotel,https://tripadvisor.in/Hotel_Review-g186338-d1885240-Reviews-OYO_TamTam_Acton_Hotel-London_England.html,2.5 of 5 bubbles,76 reviews,36,11,4,11,6,13,8,38, (75)
2468,2794. Lux London South Kensington,https://tripadvisor.in/Hotel_Review-g186338-d12710910-Reviews-Lux_London_South_Kensington-London_England.html,2 of 5 bubbles,17 reviews,96,95,9,1,1,2,2,11, (7)
2469,2795. London Greenwich Stay,https://tripadvisor.in/Hotel_Review-g186338-d23197640-Reviews-London_Greenwich_Stay-London_England.html,2 of 5 bubbles,10 reviews,81,50,9,2,0,0,0,8, (49)
2470,2796. Fitzroy Hotel,https://tripadvisor.in/Hotel_Review-g186338-d243185-Reviews-Fitzroy_Hotel-London_England.html,2 of 5 bubbles,266 reviews,100,177,31,7,35,54,43,127, (148)
2471,2797. Abbey Lodge Hotel,https://tripadvisor.in/Hotel_Review-g186338-d191912-Reviews-Abbey_Lodge_Hotel-London_England.html,2.5 of 5 bubbles,155 reviews,68,163,24,18,27,22,25,63, (102)
2472,2798. Hyde Park Court Hotel,https://tripadvisor.in/Hotel_Review-g186338-d224729-Reviews-Hyde_Park_Court_Hotel-London_England.html,2 of 5 bubbles,308 reviews,99,159,32,8,43,56,47,154, (98)
2473,2799. Kensington Hotel Apartments,https://tripadvisor.in/Hotel_Review-g186338-d15336865-Reviews-Kensington_Hotel_Apartments-London_England.html,1.5 of 5 bubbles,8 reviews,96,92,9,0,0,1,1,6, (29)
2474,2800. Hyde Park Economy Apartments,https://tripadvisor.in/Hotel_Review-g186338-d1194801-Reviews-Hyde_Park_Economy_Apartments-London_England.html,2.5 of 5 bubbles,395 reviews,98,91,16,12,68,94,66,155, (454)
2475,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
2476,2801. Brick Lane Stay,https://tripadvisor.in/Hotel_Review-g186338-d21370865-Reviews-Brick_Lane_Stay-London_England.html,1.5 of 5 bubbles,7 reviews,100,351,71,1,0,0,0,6, (6)
2477,2802. Central Hostel,https://tripadvisor.in/Hotel_Review-g186338-d1161799-Reviews-Central_Hostel-London_England.html,2 of 5 bubbles,181 reviews,98,159,20,6,23,40,42,70, (44)
2478,2803. OYO 30428 Stratford,https://tripadvisor.in/Hotel_Review-g186338-d1056104-Reviews-OYO_30428_Stratford-London_England.html,2 of 5 bubbles,115 reviews,76,61,7,8,11,17,21,58, (64)
2479,2804. Premier West Hotel,https://tripadvisor.in/Hotel_Review-g186338-d254578-Reviews-Premier_West_Hotel-London_England.html,2 of 5 bubbles,279 reviews,90,107,10,7,32,60,47,133, (118)
2480,2805. Shoreditch Apartments,https://tripadvisor.in/Hotel_Review-g186338-d15661935-Reviews-Shoreditch_Apartments-London_England.html,1.5 of 5 bubbles,6 reviews,100,293,93,0,0,1,0,5, (2)
2481,2806. London Aparthotel,https://tripadvisor.in/Hotel_Review-g186338-d192076-Reviews-London_Aparthotel-London_England.html,2 of 5 bubbles,64 reviews,98,106,26,7,6,1,3,47, (144)
2482,2807. ETL Residence,https://tripadvisor.in/Hotel_Review-g186338-d12012446-Reviews-ETL_Residence-London_England.html,1 of 5 bubbles,7 reviews,100,428,81,0,0,0,0,7, (3)
2483,2808. Map Residential Apartments,https://tripadvisor.in/Hotel_Review-g186338-d15684271-Reviews-Map_Residential_Apartments-London_England.html,1.5 of 5 bubbles,9 reviews,100,200,52,0,1,0,1,7, (16)
2484,2809. WNS Hotel,https://tripadvisor.in/Hotel_Review-g186338-d23472276-Reviews-WNS_Hotel-London_England.html,2 of 5 bubbles,13 reviews,73,44,4,2,0,1,1,9, (9)
2485,2810. Valley Lodge,https://tripadvisor.in/Hotel_Review-g186338-d4945171-Reviews-Valley_Lodge-London_England.html,1 of 5 bubbles,13 reviews,56,94,4,0,0,0,2,11,
2486,2811. Homtel Vauxhall London,https://tripadvisor.in/Hotel_Review-g186338-d13817383-Reviews-Homtel_Vauxhall_London-London_England.html,1 of 5 bubbles,6 reviews,76,53,9,0,0,0,0,6,
2487,2812. Widegate Hostel,https://tripadvisor.in/Hotel_Review-g186338-d8009225-Reviews-Widegate_Hostel-London_England.html,2 of 5 bubbles,32 reviews,100,450,78,1,4,9,2,16, (19)
2488,2813. The London Lodge,https://tripadvisor.in/Hotel_Review-g186338-d13074900-Reviews-The_London_Lodge-London_England.html,1.5 of 5 bubbles,10 reviews,78,20,3,0,1,0,1,8,
2489,2814. Kensington Aparthotel,https://tripadvisor.in/Hotel_Review-g186338-d3476472-Reviews-Kensington_Aparthotel-London_England.html,2 of 5 bubbles,58 reviews,95,95,9,2,10,7,7,32, (64)
2490,2815. Shoreditch High St,https://tripadvisor.in/Hotel_Review-g186338-d19609624-Reviews-Shoreditch_High_St-London_England.html,1 of 5 bubbles,4 reviews,100,294,93,0,0,0,0,4, (26)
2491,2816. Palace Court Hotel,https://tripadvisor.in/Hotel_Review-g186338-d224732-Reviews-Palace_Court_Hotel-London_England.html,2 of 5 bubbles,530 reviews,97,166,27,13,48,153,94,222, (230)
2492,2817. Apples Inn,https://tripadvisor.in/Hotel_Review-g186338-d3392929-Reviews-Apples_Inn-London_England.html,2 of 5 bubbles,36 reviews,68,62,7,2,3,4,5,22, (13)
2493,2818. Aron Guest House,https://tripadvisor.in/Hotel_Review-g186338-d3218455-Reviews-Aron_Guest_House-London_England.html,2 of 5 bubbles,64 reviews,73,27,4,5,10,7,7,35, (105)
2494,2819. New Globe Hotel,https://tripadvisor.in/Hotel_Review-g186338-d7206821-Reviews-New_Globe_Hotel-London_England.html,2 of 5 bubbles,82 reviews,73,106,23,2,10,17,19,34, (57)
2495,2820. Saint Paul's Place,https://tripadvisor.in/Hotel_Review-g186338-d15632102-Reviews-Saint_Paul_s_Place-London_England.html,1 of 5 bubbles,5 reviews,100,281,76,0,0,0,0,5, (10)
2496,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
2497,2821. Beaconsfield Hotel,https://tripadvisor.in/Hotel_Review-g186338-d581725-Reviews-Beaconsfield_Hotel-London_England.html,2 of 5 bubbles,176 reviews,76,41,5,9,30,21,25,91, (128)
2498,2822. Luxury Suites near Wembley Stadium,https://tripadvisor.in/Hotel_Review-g186338-d21233923-Reviews-Luxury_Suites_near_Wembley_Stadium-London_England.html,1.5 of 5 bubbles,8 reviews,43,24,3,1,0,0,0,7, (10)
2499,2823. Springfeild Hotel London,https://tripadvisor.in/Hotel_Review-g186338-d528657-Reviews-Springfeild_Hotel_London-London_England.html,2 of 5 bubbles,303 reviews,100,160,36,13,37,66,71,116, (214)
2500,2824. West Two London,https://tripadvisor.in/Hotel_Review-g186338-d1818278-Reviews-West_Two_London-London_England.html,2 of 5 bubbles,73 reviews,96,147,17,1,7,14,17,34, (48)
2501,2825. Tower Hill Apartments,https://tripadvisor.in/Hotel_Review-g186338-d15709347-Reviews-Tower_Hill_Apartments-London_England.html,1 of 5 bubbles,6 reviews,100,114,34,0,0,0,0,6,
2502,2826. 101 Stay,https://tripadvisor.in/Hotel_Review-g186338-d14194029-Reviews-101_Stay-London_England.html,1.5 of 5 bubbles,10 reviews,71,135,27,1,0,0,0,9, (11)
2503,2827. 9A Craven Road Hotel,https://tripadvisor.in/Hotel_Review-g186338-d7855965-Reviews-9A_Craven_Road_Hotel-London_England.html,2 of 5 bubbles,52 reviews,99,144,28,2,5,13,3,29, (39)
2504,2828. Piccadilly Circus Studios,https://tripadvisor.in/Hotel_Review-g186338-d9984092-Reviews-Piccadilly_Circus_Studios-London_England.html,2 of 5 bubbles,45 reviews,100,856,385,3,6,3,11,22, (39)
2505,2829. Acton Town Hotel,https://tripadvisor.in/Hotel_Review-g186338-d275429-Reviews-Acton_Town_Hotel-London_England.html,2 of 5 bubbles,248 reviews,68,88,11,15,33,56,38,106, (118)
2506,2830. Dickens Lodge,https://tripadvisor.in/Hotel_Review-g186338-d7223998-Reviews-Dickens_Lodge-London_England.html,1 of 5 bubbles,10 reviews,62,17,6,0,0,0,0,10, (3)
2507,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
2508,2831. Piccadilly Circus Apartments,https://tripadvisor.in/Hotel_Review-g186338-d5788400-Reviews-Piccadilly_Circus_Apartments-London_England.html,2 of 5 bubbles,49 reviews,100,881,408,5,6,6,2,30, (51)
2509,2832. Kensingtoncourt Aparthotel,https://tripadvisor.in/Hotel_Review-g186338-d17482158-Reviews-Kensingtoncourt_Aparthotel-London_England.html,1 of 5 bubbles,6 reviews,98,104,26,0,0,0,0,6, (9)
2510,2833. Ryam Suites,https://tripadvisor.in/Hotel_Review-g186338-d21369173-Reviews-Ryam_Suites-London_England.html,1.5 of 5 bubbles,7 reviews,85,45,5,0,1,0,0,6, (11)
2511,2834. Kensington Rooms,https://tripadvisor.in/Hotel_Review-g186338-d19759356-Reviews-Kensington_Rooms-London_England.html,1.5 of 5 bubbles,10 reviews,94,55,16,0,1,1,1,7, (19)
2512,2835. New Kent Apartments,https://tripadvisor.in/Hotel_Review-g186338-d21029752-Reviews-New_Kent_Apartments-London_England.html,2 of 5 bubbles,8 reviews,97,130,17,1,1,0,0,6, (22)
2513,2836. Four Stars Hotel,https://tripadvisor.in/Hotel_Review-g186338-d596248-Reviews-Four_Stars_Hotel-London_England.html,2 of 5 bubbles,191 reviews,100,159,26,6,20,46,32,87, (148)
2514,2837. Colliers Hotel,https://tripadvisor.in/Hotel_Review-g186338-d192052-Reviews-Colliers_Hotel-London_England.html,2 of 5 bubbles,364 reviews,92,135,18,8,34,86,60,176, (156)
2515,2838. Britannia Hampstead Hotel,https://tripadvisor.in/Hotel_Review-g186338-d195394-Reviews-Britannia_Hampstead_Hotel-London_England.html,2.5 of 5 bubbles,"1,350 reviews",76,27,2,69,224,327,241,489, (624)
2516,2839. Wellington Road Apartments,https://tripadvisor.in/Hotel_Review-g186338-d11916971-Reviews-Wellington_Road_Apartments-London_England.html,1 of 5 bubbles,10 reviews,77,30,11,0,0,0,1,9,
2517,2840. Georgian Hotel,https://tripadvisor.in/Hotel_Review-g186338-d254565-Reviews-Georgian_Hotel-London_England.html,2 of 5 bubbles,137 reviews,100,198,60,3,9,24,28,73, (25)
2518,2841. London City View,https://tripadvisor.in/Hotel_Review-g186338-d17608149-Reviews-London_City_View-London_England.html,2 of 5 bubbles,26 reviews,81,49,10,5,1,0,1,19, (5)
2519,2842. Villiers Tokyo Studio Apartments,https://tripadvisor.in/Hotel_Review-g186338-d3646100-Reviews-Villiers_Tokyo_Studio_Apartments-London_England.html,1.5 of 5 bubbles,23 reviews,100,437,229,0,2,1,4,16, (7)
2520,2843. Elephant Lodge,https://tripadvisor.in/Hotel_Review-g186338-d7212906-Reviews-Elephant_Lodge-London_England.html,1.5 of 5 bubbles,31 reviews,63,86,16,2,2,3,2,22, (39)
2521,2844. Kensal Green Backpackers 2,https://tripadvisor.in/Hotel_Review-g186338-d12179973-Reviews-Kensal_Green_Backpackers_2-London_England.html,2 of 5 bubbles,28 reviews,62,68,7,4,3,0,2,19, (24)
2522,2845. W6 Hotel,https://tripadvisor.in/Hotel_Review-g186338-d1053999-Reviews-W6_Hotel-London_England.html,2.5 of 5 bubbles,312 reviews,89,100,10,38,55,30,39,150, (407)
2523,2846. Metro London City Airport,https://tripadvisor.in/Hotel_Review-g186338-d9853200-Reviews-Metro_London_City_Airport-London_England.html,2 of 5 bubbles,45 reviews,61,17,7,1,6,6,6,26, (19)
2524,2847. The Welcome Inn,https://tripadvisor.in/Hotel_Review-g186338-d11858106-Reviews-The_Welcome_Inn-London_England.html,1.5 of 5 bubbles,21 reviews,94,180,25,1,0,4,3,13, (6)
2525,2848. The White Horse,https://tripadvisor.in/Hotel_Review-g186338-d4967449-Reviews-The_White_Horse-London_England.html,1.5 of 5 bubbles,23 reviews,44,10,15,3,0,0,1,19, (19)
2526,2849. Karslake Rooms,https://tripadvisor.in/Hotel_Review-g186338-d7728390-Reviews-Karslake_Rooms-London_England.html,2 of 5 bubbles,21 reviews,99,116,42,1,0,4,4,12, (6)
2527,2850. Valet Apartments Kensington Gardens,https://tripadvisor.in/Hotel_Review-g186338-d17499824-Reviews-Valet_Apartments_Kensington_Gardens-London_England.html,1 of 5 bubbles,6 reviews,97,150,15,0,0,0,0,6, (6)
2528,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
2529,2851. The Cranley Hotel,https://tripadvisor.in/Hotel_Review-g186338-d199856-Reviews-The_Cranley_Hotel-London_England.html,3 of 5 bubbles,"1,406 reviews",95,90,8,444,279,154,127,402," (1,592)"
2530,2852. Cromwell International Hotel,https://tripadvisor.in/Hotel_Review-g186338-d192104-Reviews-Cromwell_International_Hotel-London_England.html,2.5 of 5 bubbles,"1,416 reviews",96,128,7,74,251,274,210,607," (1,243)"
2531,2853. OYO Boston Court Hotel,https://tripadvisor.in/Hotel_Review-g186338-d192100-Reviews-OYO_Boston_Court_Hotel-London_England.html,2 of 5 bubbles,218 reviews,,,,7,26,42,32,111, (179)
2532,2854. The Ventures Hotel,https://tripadvisor.in/Hotel_Review-g186338-d275444-Reviews-The_Ventures_Hotel-London_England.html,2 of 5 bubbles,366 reviews,100,152,26,22,35,55,46,208, (291)
2533,2855. Hyde Park Hostel,https://tripadvisor.in/Hotel_Review-g186338-d215498-Reviews-Hyde_Park_Hostel-London_England.html,2 of 5 bubbles,262 reviews,98,100,17,18,38,40,48,118, (147)
2534,2856. Carmen Casa,https://tripadvisor.in/Hotel_Review-g186338-d7700013-Reviews-Carmen_Casa-London_England.html,1.5 of 5 bubbles,31 reviews,80,111,9,1,0,6,5,19, (10)
2535,2857. Rooms At 5 Hammersmith Road,https://tripadvisor.in/Hotel_Review-g186338-d16866752-Reviews-Rooms_At_5_Hammersmith_Road-London_England.html,1 of 5 bubbles,7 reviews,83,44,10,0,0,0,0,7, (16)
2536,2858. Austin David Apartments ExCeL,https://tripadvisor.in/Hotel_Review-g186338-d21348014-Reviews-Austin_David_Apartments_ExCeL-London_England.html,1 of 5 bubbles,5 reviews,78,32,5,0,0,0,0,5,
2537,2859. The London Hotel,https://tripadvisor.in/Hotel_Review-g186338-d1533186-Reviews-The_London_Hotel-London_England.html,2 of 5 bubbles,105 reviews,100,161,23,4,14,18,16,53, (54)
2538,2860. Shoreditch Studios by Allo Housing,https://tripadvisor.in/Hotel_Review-g186338-d17676184-Reviews-Shoreditch_Studios_by_Allo_Housing-London_England.html,1.5 of 5 bubbles,11 reviews,99,214,72,1,0,0,1,9, (13)
2539,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
2540,2861. Comfort Zone-Vista Serviced Apartments,https://tripadvisor.in/Hotel_Review-g186338-d1154935-Reviews-Comfort_Zone_Vista_Serviced_Apartments-London_England.html,1 of 5 bubbles,15 reviews,79,54,8,0,0,0,1,14, (23)
2541,2862. Guesthouse 23,https://tripadvisor.in/Hotel_Review-g186338-d10335255-Reviews-Guesthouse_23-London_England.html,2 of 5 bubbles,49 reviews,82,52,10,0,5,11,7,26, (46)
2542,2863. HENX Inn Hostel,https://tripadvisor.in/Hotel_Review-g186338-d23151493-Reviews-HENX_Inn_Hostel-London_England.html,1 of 5 bubbles,6 reviews,69,37,8,0,0,0,1,5, (16)
2543,2864. Barkston Rooms,https://tripadvisor.in/Hotel_Review-g186338-d1999825-Reviews-Barkston_Rooms-London_England.html,2 of 5 bubbles,754 reviews,95,103,10,43,68,148,131,364, (362)
2544,2865. Hyde Park Serviced Rooms,https://tripadvisor.in/Hotel_Review-g186338-d3538910-Reviews-Hyde_Park_Serviced_Rooms-London_England.html,1.5 of 5 bubbles,13 reviews,100,132,25,0,0,1,2,10, (48)
2545,2866. Park Lane Apartments - Clarges Street,https://tripadvisor.in/Hotel_Review-g186338-d15292603-Reviews-Park_Lane_Apartments_Clarges_Street-London_England.html,1.5 of 5 bubbles,11 reviews,100,241,129,0,1,0,2,8, (12)
2546,2867. Greenwich House,https://tripadvisor.in/Hotel_Review-g186338-d21174162-Reviews-Greenwich_House-London_England.html,1 of 5 bubbles,5 reviews,53,45,4,0,0,0,0,5, (5)
2547,2868. Holland Apartments,https://tripadvisor.in/Hotel_Review-g186338-d6212241-Reviews-Holland_Apartments-London_England.html,2 of 5 bubbles,41 reviews,81,38,9,2,2,6,7,24, (57)
2548,2869. The Soho Mandeville,https://tripadvisor.in/Hotel_Review-g186338-d15735554-Reviews-The_Soho_Mandeville-London_England.html,1 of 5 bubbles,7 reviews,100,1023,410,0,0,0,0,7,
2549,2870. Kensington And Chelsea Apartment,https://tripadvisor.in/Hotel_Review-g186338-d21313377-Reviews-Kensington_And_Chelsea_Apartment-London_England.html,1 of 5 bubbles,5 reviews,93,76,18,0,0,0,0,5, (44)
2550,2871. London Bridge Apartments,https://tripadvisor.in/Hotel_Review-g186338-d12002949-Reviews-London_Bridge_Apartments-London_England.html,2 of 5 bubbles,36 reviews,100,235,65,1,4,5,5,21, (36)
2551,2872. Apartments Of London,https://tripadvisor.in/Hotel_Review-g186338-d5626972-Reviews-Apartments_Of_London-London_England.html,2 of 5 bubbles,111 reviews,94,122,18,4,12,20,21,54, (135)
